,TARGET
262601,1.0
262604,1.0
262607,0.0
262610,0.0
262611,0.0
469,0.0
470,1.0
471,1.0
262620,0.0
477,1.0
131550,0.0
483,0.0
131556,1.0
486,0.0
262632,1.0
492,1.0
131566,1.0
262640,0.0
262650,1.0
131597,0.0
131598,1.0
262673,1.0
131602,0.0
131604,1.0
533,0.0
534,1.0
539,0.0
262689,0.0
262690,1.0
262691,1.0
262694,0.0
550,1.0
131632,0.0
560,1.0
563,1.0
564,1.0
262707,1.0
262711,1.0
131640,0.0
262712,1.0
573,0.0
131647,1.0
262721,0.0
262724,0.0
131653,1.0
583,0.0
586,1.0
131659,0.0
131661,0.0
131663,1.0
262737,1.0
594,0.0
131668,0.0
131670,0.0
603,1.0
262749,0.0
131680,0.0
131682,1.0
262760,0.0
131694,1.0
624,1.0
627,1.0
131700,0.0
131699,1.0
262783,0.0
131717,1.0
262792,0.0
262793,1.0
131725,0.0
131728,0.0
131737,1.0
262815,1.0
673,0.0
262818,0.0
262821,1.0
678,1.0
679,0.0
131756,0.0
131758,1.0
131763,0.0
262837,0.0
262839,0.0
262840,0.0
131773,0.0
706,0.0
707,1.0
262857,0.0
715,0.0
131792,1.0
262868,0.0
726,1.0
727,1.0
131806,0.0
735,0.0
131808,1.0
131810,1.0
131819,0.0
131822,1.0
131824,1.0
757,0.0
131829,1.0
765,1.0
131839,0.0
262914,0.0
131842,1.0
131844,1.0
131845,0.0
262925,0.0
782,1.0
787,0.0
794,0.0
262939,0.0
131868,0.0
262938,1.0
131871,0.0
262947,1.0
262951,1.0
131880,1.0
131881,0.0
131886,0.0
131887,0.0
817,0.0
818,1.0
827,1.0
262973,0.0
830,0.0
131905,0.0
131907,0.0
262979,0.0
843,1.0
131917,1.0
849,1.0
131922,1.0
852,0.0
853,0.0
262996,1.0
131927,1.0
263000,1.0
865,0.0
131938,0.0
131939,0.0
866,1.0
870,1.0
874,0.0
131948,1.0
131950,0.0
885,0.0
131958,1.0
131959,0.0
131960,0.0
895,0.0
263043,0.0
901,0.0
904,1.0
131979,0.0
131980,0.0
263053,0.0
263058,0.0
131987,1.0
263060,0.0
131988,1.0
922,0.0
131995,0.0
131997,1.0
926,0.0
263075,0.0
132007,0.0
263079,1.0
263083,1.0
263087,0.0
946,1.0
132020,1.0
949,1.0
132023,1.0
263096,0.0
132025,0.0
263102,0.0
132032,0.0
132034,1.0
132035,0.0
263109,0.0
966,0.0
263112,0.0
970,1.0
132044,0.0
974,1.0
976,0.0
132052,0.0
981,0.0
263124,0.0
984,0.0
986,1.0
991,1.0
263135,1.0
132065,1.0
132069,0.0
132070,1.0
132076,1.0
132079,0.0
1007,1.0
132082,1.0
132093,0.0
263167,1.0
263170,1.0
263171,0.0
1027,0.0
1033,1.0
1035,1.0
1037,0.0
132110,0.0
263190,0.0
263198,0.0
263199,0.0
263200,0.0
132127,1.0
132130,0.0
1060,1.0
263208,0.0
263212,1.0
132141,1.0
1071,1.0
1076,0.0
1077,0.0
132149,1.0
263223,0.0
132156,1.0
263237,1.0
263239,0.0
132168,0.0
263241,1.0
263244,1.0
132177,0.0
1105,1.0
132179,0.0
1107,0.0
1109,1.0
263254,1.0
132178,1.0
132191,1.0
1122,0.0
263277,1.0
1137,1.0
263285,0.0
263287,1.0
132215,1.0
263290,1.0
132223,0.0
263295,1.0
263301,1.0
1158,1.0
263304,1.0
1162,0.0
1165,1.0
132241,1.0
132243,0.0
1172,1.0
132246,1.0
1175,0.0
263321,1.0
132251,1.0
263324,1.0
1187,0.0
263333,1.0
132263,1.0
1192,1.0
132269,0.0
263348,1.0
263351,0.0
263357,0.0
263360,1.0
1223,1.0
1227,0.0
263371,1.0
132301,1.0
263376,0.0
263377,1.0
1235,1.0
1236,0.0
132310,1.0
263391,0.0
1247,0.0
1248,1.0
263397,1.0
1255,0.0
132328,1.0
1257,1.0
263405,0.0
1268,1.0
132341,0.0
263416,0.0
263424,0.0
132355,0.0
263430,1.0
1286,1.0
1288,0.0
132360,1.0
1287,1.0
132363,0.0
132364,0.0
263432,1.0
263438,1.0
1295,0.0
263444,0.0
263445,0.0
263448,0.0
1307,0.0
1308,0.0
132389,0.0
1318,0.0
132395,0.0
1324,0.0
1325,0.0
132398,0.0
1327,1.0
132400,0.0
1329,0.0
1330,0.0
263467,1.0
1333,0.0
132407,0.0
132408,1.0
132411,1.0
1340,1.0
1341,1.0
263486,1.0
132417,1.0
132424,0.0
1355,0.0
263500,0.0
1358,0.0
132430,1.0
132442,0.0
263515,1.0
263516,0.0
263514,1.0
132446,0.0
1376,1.0
263524,1.0
1382,0.0
263530,1.0
132460,1.0
132461,0.0
263534,0.0
132463,0.0
132464,0.0
263543,0.0
263546,0.0
1403,1.0
263552,0.0
1408,0.0
132482,1.0
132483,0.0
263556,0.0
1412,0.0
1419,0.0
132491,1.0
132496,1.0
263571,1.0
263573,1.0
1432,0.0
132507,1.0
132509,0.0
132512,1.0
263584,1.0
132520,0.0
1448,0.0
1450,1.0
132525,0.0
1454,0.0
263601,0.0
132529,1.0
1463,1.0
1465,1.0
132538,0.0
263614,0.0
132543,0.0
132544,0.0
263616,1.0
263618,0.0
132547,0.0
132548,0.0
132550,1.0
1482,0.0
132558,0.0
263630,0.0
1487,0.0
132559,1.0
263635,1.0
263641,1.0
132570,1.0
132571,0.0
132576,1.0
132577,0.0
1507,1.0
132584,1.0
263662,0.0
263664,0.0
132592,1.0
1523,0.0
263667,0.0
132597,0.0
263670,0.0
263669,1.0
263671,1.0
263674,0.0
132605,1.0
132606,1.0
132609,1.0
1540,0.0
263685,0.0
132617,0.0
132621,0.0
1550,0.0
263693,1.0
132626,0.0
263699,0.0
132628,0.0
1558,0.0
263708,1.0
263709,0.0
263710,0.0
263712,0.0
263713,0.0
132642,1.0
1571,1.0
1574,0.0
263719,1.0
1577,0.0
132660,0.0
1588,1.0
132664,1.0
132668,0.0
1597,1.0
263744,0.0
1600,0.0
132674,0.0
263755,1.0
132684,0.0
263756,1.0
132686,1.0
263759,1.0
1621,0.0
132696,0.0
132699,0.0
132702,1.0
263775,1.0
132706,0.0
1635,0.0
1636,0.0
132709,1.0
132711,0.0
1642,0.0
132715,0.0
263793,0.0
263798,0.0
263801,0.0
1658,0.0
132730,0.0
263804,1.0
1663,0.0
1665,1.0
132744,1.0
263820,0.0
263824,0.0
263825,0.0
1683,1.0
132756,1.0
132757,0.0
1691,1.0
1692,1.0
1694,1.0
132769,1.0
1699,1.0
263844,0.0
132771,1.0
132773,1.0
263845,1.0
132778,1.0
1708,0.0
263854,0.0
1710,0.0
263856,0.0
132784,1.0
263860,1.0
263862,0.0
132791,1.0
132794,1.0
263867,0.0
263868,1.0
263869,1.0
263872,0.0
1729,0.0
1728,0.0
1731,1.0
1730,1.0
132800,1.0
1734,1.0
1735,0.0
263880,0.0
132808,1.0
1736,1.0
263883,0.0
263884,1.0
132826,1.0
263899,1.0
263900,0.0
1757,0.0
1756,1.0
132835,0.0
263909,1.0
132839,1.0
263915,1.0
1771,1.0
263918,0.0
132847,0.0
263920,0.0
132848,1.0
263921,1.0
263924,1.0
1781,1.0
263927,0.0
1783,0.0
263928,0.0
263933,1.0
132862,1.0
263938,1.0
263939,1.0
132870,0.0
263944,1.0
132877,1.0
1806,1.0
132879,0.0
263957,1.0
1815,0.0
1816,1.0
132888,1.0
1818,0.0
1821,1.0
1823,1.0
132896,0.0
263968,0.0
132898,0.0
263969,1.0
132900,1.0
132901,1.0
132902,0.0
132905,1.0
1834,1.0
132910,1.0
263990,1.0
132919,0.0
263991,1.0
132921,1.0
1852,0.0
264005,0.0
1861,0.0
132942,1.0
1873,0.0
132950,0.0
132951,1.0
132952,0.0
132958,0.0
1888,0.0
1892,1.0
132968,0.0
1898,1.0
264043,1.0
1902,0.0
264050,1.0
1907,1.0
132981,1.0
132982,0.0
1916,0.0
132988,1.0
264061,1.0
1924,1.0
1934,0.0
264080,0.0
1945,1.0
264095,1.0
264096,0.0
133028,1.0
264104,0.0
133035,0.0
264112,1.0
133042,1.0
133045,0.0
133050,0.0
133056,0.0
133060,1.0
1992,1.0
1999,0.0
133072,0.0
133071,1.0
133074,1.0
133086,1.0
2015,0.0
2018,0.0
2020,0.0
264165,1.0
2022,0.0
264168,0.0
264169,0.0
133099,0.0
2028,1.0
264173,1.0
264172,1.0
133104,0.0
264177,0.0
2036,0.0
264181,0.0
264180,1.0
2039,0.0
133110,1.0
2042,1.0
2043,0.0
133116,0.0
133118,0.0
133122,0.0
2055,1.0
264203,1.0
2060,0.0
264204,1.0
2066,0.0
133139,1.0
264214,0.0
133144,1.0
2074,0.0
264226,0.0
133157,0.0
2087,1.0
264238,0.0
133166,0.0
264242,0.0
264243,0.0
2098,0.0
264246,1.0
264252,0.0
133182,1.0
133186,0.0
2117,1.0
2118,0.0
2119,1.0
2124,0.0
133197,0.0
264275,0.0
133205,0.0
264278,1.0
133206,1.0
133211,0.0
264284,1.0
133215,0.0
2146,1.0
2150,0.0
2153,1.0
2156,0.0
264301,1.0
264312,1.0
133242,1.0
264318,1.0
133248,0.0
2177,0.0
264324,0.0
2180,0.0
2181,1.0
264333,0.0
264335,1.0
2192,0.0
2193,1.0
2197,1.0
2200,1.0
133275,1.0
2204,1.0
2212,0.0
2215,1.0
264365,0.0
133293,1.0
264367,0.0
2223,1.0
133297,0.0
133300,0.0
2229,0.0
2231,0.0
264378,1.0
133307,1.0
2237,1.0
264383,0.0
2243,0.0
2244,0.0
264389,0.0
264394,1.0
133325,1.0
264405,1.0
133336,1.0
264413,0.0
2270,0.0
2271,0.0
264416,1.0
264418,0.0
133347,1.0
264423,0.0
2280,0.0
2282,1.0
2283,0.0
133355,0.0
2286,0.0
2287,0.0
2288,1.0
133361,1.0
2290,1.0
264432,1.0
133367,1.0
133372,0.0
264445,0.0
2303,0.0
133381,0.0
133388,1.0
2319,1.0
133392,0.0
133395,0.0
133400,0.0
264472,0.0
133403,0.0
264476,1.0
133404,1.0
133406,0.0
133407,0.0
2337,0.0
2338,0.0
133410,1.0
133412,1.0
264485,0.0
133415,0.0
264496,1.0
2352,1.0
133426,1.0
264499,0.0
133430,1.0
133432,0.0
264504,0.0
2366,1.0
2369,1.0
133443,0.0
264515,0.0
133454,0.0
264529,1.0
2385,1.0
2387,1.0
2391,1.0
2392,1.0
133470,1.0
133473,1.0
133474,0.0
2404,1.0
264553,0.0
264560,0.0
264561,1.0
133498,0.0
264574,1.0
2430,1.0
2433,1.0
264583,1.0
133512,1.0
264589,1.0
133520,1.0
264608,1.0
2464,1.0
133538,1.0
264614,0.0
133543,0.0
2470,1.0
133549,0.0
2478,1.0
2482,0.0
264626,0.0
2484,0.0
264628,1.0
2489,1.0
133563,1.0
133564,0.0
264636,1.0
2494,1.0
133570,1.0
264644,0.0
133575,1.0
133576,1.0
2508,1.0
2509,0.0
133580,1.0
133586,0.0
264659,0.0
264660,0.0
264658,1.0
2518,0.0
133591,1.0
133592,1.0
133593,0.0
2520,1.0
264666,1.0
2524,1.0
2521,1.0
264672,1.0
264673,1.0
264674,1.0
2534,1.0
2537,1.0
264682,1.0
133611,1.0
264685,1.0
2544,0.0
2547,0.0
264694,0.0
133624,1.0
2554,0.0
2558,0.0
2559,0.0
2560,0.0
264708,1.0
2565,1.0
133638,0.0
133642,1.0
264715,0.0
2571,1.0
2574,0.0
133649,0.0
2578,0.0
264723,0.0
264727,0.0
264729,0.0
2585,0.0
133658,1.0
2588,0.0
133661,0.0
264738,0.0
133666,1.0
264743,0.0
133672,0.0
2603,0.0
133676,1.0
133679,1.0
133681,0.0
264756,0.0
133687,1.0
264760,1.0
2617,0.0
264762,0.0
133692,0.0
2620,1.0
2621,1.0
2628,1.0
264775,0.0
264779,0.0
133711,0.0
2640,0.0
133716,1.0
264788,1.0
133719,0.0
2649,0.0
264794,1.0
133723,1.0
133724,0.0
2652,0.0
2653,0.0
133727,0.0
264796,1.0
2659,1.0
133733,0.0
2663,0.0
2667,0.0
2669,0.0
264817,1.0
2685,1.0
2686,1.0
264831,1.0
264832,0.0
133767,1.0
264840,0.0
2696,1.0
264841,1.0
2699,0.0
2702,0.0
264846,0.0
133774,1.0
264849,0.0
264850,0.0
2706,1.0
133780,0.0
2710,1.0
133783,0.0
2714,0.0
264858,1.0
133790,1.0
2719,0.0
2718,1.0
2722,1.0
133797,0.0
133804,0.0
2733,0.0
264880,1.0
2738,1.0
133814,1.0
2746,1.0
264891,0.0
2748,1.0
2747,1.0
133825,1.0
133827,1.0
2755,1.0
2758,1.0
133837,1.0
2769,1.0
133844,1.0
2773,0.0
264922,0.0
133851,1.0
2780,0.0
2785,0.0
133863,1.0
133867,1.0
264943,1.0
133874,1.0
133877,0.0
133883,0.0
2816,0.0
264962,0.0
2819,1.0
264964,0.0
133893,1.0
2823,1.0
133897,1.0
264979,1.0
2836,1.0
2841,0.0
2848,1.0
133921,0.0
264994,0.0
2849,1.0
264995,1.0
264999,0.0
133937,1.0
2867,1.0
133941,0.0
265019,1.0
265020,0.0
133952,1.0
133953,0.0
2883,0.0
133956,1.0
265031,0.0
265033,0.0
265037,0.0
133966,0.0
265041,0.0
2898,1.0
2899,1.0
2902,1.0
2903,1.0
2907,1.0
2908,1.0
265061,1.0
133990,0.0
2918,0.0
133993,0.0
265065,1.0
265067,0.0
2924,0.0
2923,1.0
265070,0.0
133997,1.0
265072,1.0
2921,1.0
2931,0.0
265075,1.0
2934,1.0
2937,0.0
265091,0.0
2948,1.0
134023,1.0
2953,0.0
134026,0.0
265099,1.0
134033,0.0
2961,1.0
265108,1.0
2965,1.0
134038,0.0
134041,0.0
265117,1.0
2977,1.0
134050,0.0
265122,1.0
265124,0.0
134054,0.0
2983,1.0
265130,0.0
265137,1.0
265139,0.0
265140,0.0
265141,0.0
265142,0.0
3003,1.0
265148,0.0
134080,1.0
265155,0.0
3011,1.0
134086,1.0
265160,1.0
265162,0.0
265164,0.0
265165,1.0
3022,0.0
3023,1.0
134105,0.0
3034,1.0
265179,0.0
3038,0.0
265184,1.0
265188,0.0
134119,1.0
134120,1.0
3052,1.0
3055,0.0
3056,0.0
134133,0.0
134134,0.0
265208,1.0
134140,0.0
134142,0.0
265214,1.0
265216,0.0
3077,1.0
134149,1.0
265223,1.0
3086,0.0
265231,1.0
134165,1.0
134169,0.0
265249,0.0
265250,1.0
134178,1.0
134179,1.0
3109,0.0
3110,1.0
134183,1.0
134184,0.0
265256,1.0
3114,0.0
3113,1.0
265251,1.0
265267,1.0
3131,1.0
3138,1.0
134218,1.0
3148,0.0
134221,0.0
134223,0.0
134227,1.0
3156,0.0
265305,0.0
134234,1.0
134235,0.0
3163,1.0
134237,0.0
265310,0.0
134241,1.0
3170,0.0
3175,0.0
134249,1.0
265322,0.0
134250,1.0
265323,1.0
3181,0.0
134257,0.0
265330,1.0
134259,1.0
3188,0.0
134258,1.0
3190,1.0
134263,1.0
265336,1.0
3195,0.0
134270,1.0
3202,1.0
265346,1.0
265348,0.0
265350,1.0
265353,0.0
134283,1.0
134286,0.0
134291,0.0
265364,0.0
3222,0.0
265366,0.0
265367,1.0
265373,1.0
3234,0.0
265378,0.0
265382,1.0
134311,0.0
265383,0.0
134312,1.0
134316,0.0
265388,0.0
134321,0.0
3250,1.0
134323,0.0
265399,0.0
3256,1.0
265402,0.0
265405,0.0
3266,1.0
265412,1.0
265413,1.0
265416,1.0
134346,1.0
134349,0.0
3283,0.0
134355,1.0
3289,0.0
3292,1.0
134365,0.0
3299,0.0
265447,1.0
265449,0.0
3306,0.0
3307,0.0
134380,0.0
265452,1.0
134388,0.0
134398,0.0
265477,1.0
265478,1.0
3336,1.0
265483,1.0
3341,1.0
134416,1.0
265494,0.0
3351,1.0
265500,1.0
265503,0.0
3364,0.0
265508,1.0
134440,0.0
3368,0.0
265513,1.0
3372,1.0
265517,0.0
134451,0.0
3380,0.0
265531,0.0
265539,0.0
3395,1.0
3404,0.0
265550,1.0
3408,1.0
265556,1.0
3412,1.0
134488,0.0
3420,1.0
3422,1.0
3423,0.0
3425,1.0
134504,1.0
134506,0.0
134512,1.0
134514,0.0
265587,0.0
134516,0.0
3445,0.0
3442,1.0
265593,1.0
134524,1.0
134529,0.0
265602,1.0
134531,1.0
265606,0.0
265609,0.0
265613,1.0
265614,0.0
265616,1.0
3475,1.0
265622,0.0
134550,0.0
265624,1.0
265625,1.0
3485,1.0
134564,0.0
134566,0.0
134568,1.0
265641,0.0
265645,0.0
134574,0.0
3503,1.0
265654,0.0
3516,1.0
3517,1.0
3518,0.0
3522,0.0
3525,1.0
265675,1.0
265678,1.0
265692,0.0
134624,0.0
265696,0.0
265698,0.0
3557,1.0
134630,0.0
3559,0.0
265702,0.0
134633,0.0
3563,0.0
3568,0.0
134642,0.0
3571,0.0
134652,1.0
134663,0.0
134668,0.0
134669,1.0
134670,0.0
3603,0.0
265748,0.0
3604,1.0
134676,1.0
3605,1.0
3609,0.0
3616,0.0
134690,1.0
3618,1.0
3620,0.0
3622,0.0
3624,0.0
3628,0.0
265773,1.0
265776,0.0
134709,0.0
265782,0.0
3639,0.0
265784,0.0
265781,1.0
3643,0.0
265791,1.0
265792,1.0
265795,0.0
3651,0.0
3654,1.0
3655,0.0
265800,0.0
3656,0.0
134729,1.0
134732,1.0
265816,1.0
134748,1.0
3680,1.0
265826,0.0
134755,0.0
134756,0.0
134754,1.0
265834,0.0
265835,1.0
265839,0.0
265840,1.0
134769,0.0
3699,1.0
265845,0.0
265851,0.0
134785,1.0
265857,1.0
3722,1.0
134798,1.0
265872,1.0
265874,1.0
3733,1.0
134806,1.0
3737,0.0
134809,0.0
3739,1.0
265884,1.0
265888,1.0
134821,0.0
3756,0.0
3759,0.0
265903,1.0
265906,0.0
3763,0.0
3766,0.0
265917,0.0
3774,1.0
3775,0.0
134848,0.0
3778,0.0
3783,0.0
134856,0.0
134868,1.0
3801,1.0
134874,0.0
134883,0.0
134885,1.0
265968,1.0
134898,1.0
3828,1.0
265974,0.0
134902,0.0
265975,1.0
3834,1.0
134910,1.0
3838,1.0
265986,1.0
265994,1.0
134923,1.0
3853,1.0
134925,1.0
266001,1.0
134930,0.0
3859,0.0
3860,1.0
134936,1.0
134940,0.0
134941,1.0
134944,1.0
134945,1.0
266020,0.0
134949,0.0
134953,1.0
3889,0.0
266035,1.0
3894,0.0
134970,1.0
266043,0.0
3898,1.0
3901,0.0
3903,0.0
134980,0.0
134989,1.0
266062,1.0
3922,1.0
266069,0.0
135004,1.0
266078,1.0
135007,0.0
266079,1.0
135009,1.0
266082,0.0
135011,0.0
266080,1.0
266085,1.0
266088,1.0
135017,1.0
135019,1.0
135020,0.0
266095,1.0
135025,1.0
3954,0.0
266099,0.0
266106,1.0
266109,0.0
266113,0.0
266117,0.0
135049,0.0
135050,0.0
135057,0.0
266129,0.0
135061,0.0
266133,1.0
266143,0.0
135071,1.0
4001,0.0
3999,1.0
135075,0.0
135076,1.0
4005,0.0
266150,1.0
266153,1.0
4013,0.0
266164,1.0
135093,0.0
4025,1.0
266180,1.0
266186,0.0
135116,0.0
4053,1.0
4055,0.0
135129,0.0
4057,1.0
266204,1.0
266205,1.0
4062,1.0
135136,0.0
135137,0.0
4065,0.0
266209,0.0
135143,1.0
135146,1.0
135150,0.0
4083,1.0
135157,0.0
266231,1.0
266232,0.0
266233,0.0
135162,1.0
4091,0.0
4092,0.0
135159,1.0
266240,0.0
135168,1.0
266244,0.0
135175,0.0
4103,0.0
4105,1.0
266250,1.0
266251,1.0
266252,1.0
135182,0.0
266255,0.0
135183,0.0
135185,1.0
4112,1.0
4111,1.0
135188,1.0
4117,0.0
135196,1.0
266271,0.0
4127,1.0
4132,1.0
135207,1.0
4136,0.0
135209,0.0
4142,1.0
266287,1.0
266288,0.0
266294,0.0
4150,1.0
135225,1.0
266300,0.0
135232,0.0
4163,1.0
266309,1.0
135244,0.0
266316,1.0
266318,1.0
135249,0.0
4178,1.0
266342,0.0
4199,0.0
4198,0.0
4202,1.0
4203,1.0
135279,0.0
266354,1.0
135283,1.0
266356,1.0
266358,0.0
135288,0.0
4222,1.0
266367,0.0
4223,0.0
4225,1.0
135298,0.0
135299,0.0
4229,0.0
135302,1.0
266375,0.0
266383,1.0
4242,1.0
4246,0.0
266392,0.0
4248,1.0
4251,0.0
4256,1.0
266406,0.0
135344,1.0
4273,0.0
135348,0.0
4281,1.0
135355,0.0
135356,1.0
266431,1.0
135359,1.0
266433,0.0
135361,1.0
266447,1.0
135376,0.0
4307,0.0
135379,1.0
135382,0.0
4310,1.0
135383,1.0
135385,0.0
4314,0.0
135387,0.0
266459,1.0
135398,0.0
135403,0.0
135411,0.0
4343,1.0
135416,0.0
135415,1.0
135421,0.0
135422,0.0
135423,1.0
266496,0.0
266499,1.0
135428,0.0
266508,1.0
135438,1.0
4374,1.0
4376,1.0
266521,0.0
135450,0.0
4379,0.0
135452,1.0
135454,0.0
135459,0.0
266532,0.0
135464,0.0
4397,1.0
266543,0.0
4401,0.0
266553,0.0
4410,1.0
135484,0.0
4415,0.0
266561,0.0
135495,1.0
135498,1.0
266571,0.0
135501,1.0
4430,0.0
266574,1.0
4432,1.0
135507,1.0
266585,0.0
135517,1.0
4446,0.0
266589,1.0
4448,1.0
4451,0.0
266595,0.0
266597,1.0
135526,1.0
266600,1.0
135529,0.0
266602,0.0
135528,1.0
4460,0.0
266604,0.0
266609,1.0
4467,0.0
266612,0.0
135542,0.0
4473,0.0
266629,1.0
4485,1.0
135561,1.0
135566,1.0
4495,1.0
4497,0.0
266642,0.0
135569,1.0
135571,1.0
4499,1.0
135575,1.0
266655,1.0
4512,0.0
135584,1.0
135585,1.0
4521,0.0
135594,0.0
266671,1.0
266676,1.0
266680,0.0
4537,0.0
4538,1.0
135609,1.0
4549,1.0
266694,0.0
135623,1.0
266700,1.0
135629,0.0
4556,1.0
135639,1.0
4567,1.0
266714,0.0
4578,0.0
135653,0.0
266730,1.0
4586,1.0
266734,0.0
4590,0.0
135662,0.0
266735,1.0
266739,1.0
4598,1.0
135680,1.0
4609,0.0
135682,1.0
4611,0.0
135688,1.0
135690,0.0
266765,1.0
135695,1.0
4625,1.0
135700,0.0
4637,0.0
4638,0.0
266783,0.0
266787,1.0
135720,0.0
266793,0.0
266796,0.0
135725,1.0
4656,1.0
266804,0.0
266809,0.0
4665,1.0
266813,1.0
266816,0.0
266818,1.0
4676,0.0
4679,1.0
135753,0.0
135754,0.0
266827,1.0
135762,0.0
266834,0.0
266836,1.0
266841,0.0
135770,0.0
266844,1.0
4701,1.0
266846,0.0
135777,1.0
4708,0.0
135787,0.0
4717,0.0
266861,0.0
4721,0.0
135794,0.0
135797,0.0
4726,0.0
266871,1.0
135800,1.0
266873,1.0
266878,0.0
266882,1.0
135814,1.0
135815,1.0
135816,0.0
266888,1.0
4746,0.0
4742,1.0
135824,1.0
135826,1.0
135827,1.0
135828,1.0
4758,0.0
135832,0.0
266907,0.0
266910,0.0
4773,1.0
135853,0.0
266929,0.0
135859,1.0
135865,0.0
266938,0.0
135876,1.0
4804,1.0
135877,1.0
4807,1.0
4811,0.0
4813,1.0
4819,1.0
4824,1.0
4825,1.0
135898,0.0
135899,1.0
4830,1.0
135906,1.0
4835,1.0
266981,0.0
135913,0.0
4842,1.0
4848,1.0
266994,0.0
135928,1.0
135932,1.0
4860,1.0
4863,0.0
4865,1.0
135939,0.0
267014,1.0
4877,1.0
4878,0.0
4879,1.0
4886,1.0
4887,1.0
4894,0.0
135968,1.0
135976,0.0
135977,0.0
4907,0.0
4910,1.0
267059,1.0
267062,0.0
4925,0.0
267070,0.0
135999,0.0
135997,1.0
136010,1.0
267083,0.0
267087,1.0
4954,1.0
4955,1.0
136030,0.0
136031,0.0
267104,0.0
4958,0.0
267106,1.0
136035,1.0
267112,1.0
267114,1.0
136044,0.0
4975,0.0
267120,0.0
267122,1.0
4980,0.0
136054,0.0
4982,1.0
4984,0.0
4985,0.0
4995,0.0
267143,0.0
267144,0.0
136077,0.0
267154,0.0
267162,1.0
267165,1.0
5022,1.0
136096,0.0
267170,0.0
5027,1.0
5029,0.0
267174,0.0
5033,1.0
136106,1.0
5035,0.0
136108,0.0
5037,1.0
267186,1.0
267195,1.0
5055,0.0
5058,1.0
5062,1.0
136135,1.0
5067,0.0
5069,1.0
267217,0.0
267232,0.0
5089,1.0
267236,0.0
136164,0.0
136166,1.0
5095,0.0
267239,0.0
136167,1.0
136170,0.0
5098,0.0
5101,1.0
136178,1.0
267253,0.0
5109,0.0
5111,0.0
136184,1.0
267259,1.0
267261,1.0
136190,0.0
5130,0.0
136203,0.0
5132,1.0
136202,1.0
267281,1.0
5138,0.0
136211,1.0
5144,0.0
267289,0.0
267290,1.0
5146,1.0
5149,1.0
136223,1.0
136225,0.0
5155,0.0
5160,1.0
267306,0.0
5162,0.0
136235,1.0
136237,0.0
136238,0.0
5167,0.0
267311,1.0
267312,1.0
267316,1.0
5173,1.0
267321,1.0
267327,1.0
136256,0.0
5184,1.0
5185,1.0
5192,1.0
136265,0.0
267338,1.0
267341,0.0
267342,1.0
267343,1.0
267344,0.0
136269,1.0
136276,1.0
5207,1.0
267354,1.0
136286,0.0
5216,1.0
136290,0.0
136291,1.0
5220,0.0
267365,0.0
267367,0.0
5224,0.0
136296,1.0
267374,0.0
5230,0.0
5232,1.0
5233,0.0
5234,0.0
267382,0.0
136311,0.0
267384,0.0
136310,1.0
267386,0.0
5240,1.0
267389,0.0
5258,0.0
267404,1.0
5264,0.0
136347,1.0
267427,0.0
136364,1.0
267439,1.0
267440,0.0
136374,0.0
267448,0.0
267449,1.0
